product_id,product_name,category,subcategory,cost_price
1,Pro Laptop 1,Electronics,Laptops,5058.13
2,Premium Laptop 2,Electronics,Laptops,22954.88
3,Smart Playsuit 3,Clothing,Kids,12652.9
4,Pro Smartphone 4,Electronics,Mobiles,14871.39
5,Portable Sneakers 5,Clothing,Footwear,8639.01
6,Eco Cookware Set 6,Home,Kitchen,4114.54
7,Pro Dress 7,Clothing,Women,6763.64
8,Premium Guidebook 8,Books,Self-Help,24180.1
9,Ultra Camera 9,Electronics,Cameras,15048.49
10,Eco Laptop 10,Electronics,Laptops,23577.97
11,Compact Bedsheet Set 11,Home,Bedding,11502.0
12,Eco Sneakers 12,Clothing,Footwear,20616.55
13,Classic Guidebook 13,Books,Self-Help,24163.81
14,Portable Storage Box 14,Home,Storage,7496.97
15,Classic Camera 15,Electronics,Cameras,6948.26
16,Eco Wall Art 16,Home,Decor,23807.09
17,Ultra Chair 17,Home,Furniture,6045.54
18,Compact Charger 18,Electronics,Accessories,17034.86
19,Eco Camera 19,Electronics,Cameras,10493.21
20,Portable Novel 20,Books,Fiction,14322.46
21,Pro Playsuit 21,Clothing,Kids,15975.92
22,Essential Textbook 22,Books,Academic,4291.17
23,Classic Playsuit 23,Clothing,Kids,18535.93
24,Classic Playsuit 24,Clothing,Kids,5622.03
25,Smart Bedsheet Set 25,Home,Bedding,14659.99
26,Deluxe Novel 26,Books,Fiction,14610.19
27,Pro Camera 27,Electronics,Cameras,21694.07
28,Eco Guidebook 28,Books,Self-Help,21777.69
29,Pro Dress 29,Clothing,Women,24680.43
30,Smart Biography 30,Books,Non-Fiction,4549.9
31,Smart Camera 31,Electronics,Cameras,4461.77
32,Deluxe Smartphone 32,Electronics,Mobiles,19041.77
33,Ultra Jacket 33,Clothing,Winterwear,19101.05
34,Portable Laptop 34,Electronics,Laptops,10763.77
35,Compact Comic Book 35,Books,Comics,5025.39
36,Smart Cookware Set 36,Home,Kitchen,13299.29
37,Pro Smartphone 37,Electronics,Mobiles,21930.78
38,Classic Chair 38,Home,Furniture,14737.33
