item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,71,5,13042.53,19.5
2,1,356,2,9066.74,39.7
3,1,261,3,11724.41,36.4
4,2,366,4,8105.27,46.6
5,2,291,1,12798.37,22.1
6,2,85,2,26937.04,3.8
7,3,415,1,19401.36,47.1
8,4,234,3,25149.54,33.4
9,5,60,3,872.33,49.8
10,5,262,2,16126.83,14.4
11,5,209,2,29135.69,38.5
12,5,499,-1,12800.1,42.6
13,6,31,2,12526.92,22.6
14,6,394,4,29699.44,20.7
15,6,192,1,4272.54,15.7
16,7,247,2,4095.82,34.9
17,7,285,5,17692.65,2.0
18,7,179,2,21783.42,48.6
19,7,33,4,14697.84,30.9
20,8,97,4,18466.62,16.4
21,9,283,1,18541.76,10.6
22,9,414,3,1973.75,15.2
23,9,124,3,13085.0,15.4
24,10,54,2,11450.34,3.3
25,10,113,3,22078.42,32.1
26,10,393,3,10744.85,37.9
27,10,253,4,20590.74,18.8
28,11,95,-3,9768.95,48.6
29,11,306,3,10363.92,36.4
30,11,47,3,23406.68,46.3
31,12,409,5,6937.95,0.0
32,12,493,2,28705.39,3.3
33,12,145,3,11401.32,36.9
34,13,383,3,17449.76,9.9
35,14,96,5,13793.85,25.9
36,14,118,3,6488.32,6.7
37,14,267,3,517.52,16.1
38,15,452,4,2933.28,9.7
39,15,508,3,15111.25,3.0
40,16,250,3,2853.77,3.2
41,16,88,4,16092.33,8.5
42,16,320,1,14627.97,27.4
43,16,212,1,1455.59,33.6
44,17,434,4,25184.59,20.3
45,17,309,1,4369.36,21.4
46,17,132,2,7407.29,40.4
47,18,382,2,21231.19,9.8
48,19,35,5,13008.94,16.8
49,19,55,3,27307.61,0.9
50,19,190,2,5129.17,37.0
51,19,200,2,916.52,20.4
52,20,106,3,9660.78,29.4
53,21,20,4,12790.01,12.5
54,21,98,5,4305.42,6.8
55,22,285,3,7040.0,48.9
56,22,39,2,1511.03,18.9
57,23,98,5,22749.5,42.5
58,24,213,3,6351.37,28.8
59,25,234,5,11427.09,48.6
60,25,179,2,7373.38,29.9
61,26,422,3,5651.55,20.0
62,26,291,3,18321.42,21.4
63,26,342,-2,17551.13,21.5
64,27,275,5,28527.59,12.4
65,27,179,4,18790.56,43.3
66,28,284,4,24928.29,17.8
67,28,370,1,10104.79,8.9
68,29,414,4,28817.19,18.5
69,29,380,5,1911.3,45.8
70,29,341,1,8071.37,39.1
71,29,68,2,12189.16,29.1
72,30,164,3,27721.74,19.7
73,30,296,2,10208.11,28.1
74,30,453,4,3905.73,31.7
75,31,256,4,14866.24,29.6
76,31,158,3,14297.15,7.8
77,31,297,4,28531.97,37.2
78,32,332,3,12383.65,16.4
79,32,278,2,20095.8,1.3
80,33,403,2,8951.45,23.5
81,34,80,2,20246.94,25.0
82,34,426,5,19707.78,34.7
83,35,30,4,24211.45,23.7
84,36,61,3,16135.53,21.2
85,36,483,5,27124.7,1.0
86,36,171,4,21984.27,28.7
87,36,5,1,29373.47,19.9
88,37,305,3,19309.08,41.9
89,37,453,2,11719.15,35.1
90,38,416,4,4246.97,46.5
91,38,211,5,18955.21,15.0
92,38,196,5,7941.71,42.3
93,39,113,4,21105.22,19.2
94,40,472,1,12409.65,44.5
95,40,91,3,6698.14,5.5
96,40,420,4,3312.34,17.5
97,41,117,2,17073.83,13.6
98,42,84,2,8238.04,13.6
99,43,430,1,8515.26,41.3
100,43,494,3,2749.47,3.1
101,43,211,4,14859.35,10.8
102,43,281,3,27270.42,4.6
103,44,11,3,19719.1,46.1
104,44,290,1,4600.61,28.1
105,44,86,4,27782.31,20.2
106,44,26,1,22464.89,3.6
107,45,253,1,28647.72,38.5
108,46,514,2,29892.75,10.5
109,46,338,4,1935.36,23.9
110,46,310,1,14621.34,47.0
111,47,211,4,1856.94,16.2
112,48,102,2,23502.46,4.9
113,48,89,1,29891.13,15.2
114,48,508,1,4931.0,46.6
115,48,119,1,8750.91,6.0
116,49,307,1,23200.95,30.4
117,49,325,4,25489.08,18.4
118,49,140,4,5706.92,3.6
119,49,497,1,1221.53,31.9
120,50,114,3,5162.65,32.1
121,50,389,3,26321.66,3.8
122,50,126,3,6612.07,2.6
123,51,190,3,10180.34,49.9
124,51,398,4,22213.85,44.7
125,51,69,-3,10962.2,24.3
126,51,417,4,17554.11,29.9
127,52,534,5,8541.56,28.5
128,52,539,2,29436.73,1.5
129,52,368,3,13037.31,17.4
130,53,214,2,25566.96,9.2
131,53,375,1,13724.97,19.5
132,53,373,3,12212.3,1.3
133,53,517,1,14344.69,33.2
134,54,302,3,3425.82,11.1
135,55,522,5,13407.88,40.4
136,55,432,1,29055.6,49.0
137,55,185,5,18025.2,33.6
138,55,267,1,14627.26,26.8
139,56,484,2,15094.92,5.6
140,57,166,2,5511.34,27.8
141,57,144,5,8403.77,16.3
142,57,235,2,10801.68,30.3
143,58,33,5,8112.5,30.3
144,58,2,3,26708.21,5.1
145,58,280,2,10476.18,1.5
146,59,199,2,23007.69,26.5
147,59,327,1,23767.22,21.8
148,59,454,3,28699.43,27.8
149,60,476,1,3916.01,27.0
150,61,25,1,18699.58,45.5
151,62,249,2,23620.64,25.5
152,62,309,3,8708.55,27.8
153,62,80,3,22009.64,31.4
154,63,180,5,20256.63,46.3
155,64,24,3,14981.88,45.6
156,64,395,1,20243.29,11.4
157,65,150,5,21789.02,35.9
158,66,246,3,16621.23,47.9
159,66,413,3,17811.46,15.3
160,66,15,5,22810.86,9.3
161,67,430,4,17036.52,2.4
162,68,368,5,12931.61,18.9
163,68,157,4,10013.63,23.0
164,68,533,3,11200.51,44.7
165,69,409,4,12489.8,46.3
166,70,71,1,15409.65,9.7
167,70,307,5,18452.04,32.0
168,70,60,3,8153.66,23.0
169,70,144,2,9760.95,43.8
170,71,545,2,7287.61,7.0
171,72,179,1,8289.81,22.7
172,72,218,1,21632.37,17.1
173,72,309,4,18050.54,16.4
174,73,323,5,27852.18,19.2
175,73,470,5,24288.88,0.7
176,73,289,3,13620.13,12.0
177,74,227,3,20302.13,14.6
178,74,148,2,25464.87,16.1
179,75,538,3,705.65,41.4
180,75,397,4,5596.25,44.1
181,76,454,4,8935.17,7.8
182,77,135,4,13973.92,46.4
183,77,28,1,10839.56,12.0
184,78,416,4,25767.29,41.7
185,78,392,2,24600.26,37.6
186,79,125,5,1450.21,26.6
187,79,237,3,326.94,7.6
188,80,98,2,11272.79,11.3
189,80,50,1,18150.71,0.1
190,80,109,2,21291.12,32.4
191,80,246,4,4472.12,42.1
192,81,288,3,29097.84,15.5
193,81,505,5,29925.28,40.6
194,81,66,1,8641.07,39.0
195,81,527,2,4187.82,11.7
196,82,480,4,8759.8,36.7
197,82,477,4,484.17,37.0
198,82,548,3,5954.77,30.7
199,82,78,1,20135.39,48.7
200,83,431,4,19478.27,38.0
201,83,439,1,23534.23,8.0
202,83,349,3,14356.02,2.7
203,83,60,5,1890.24,6.6
204,84,117,5,20424.6,22.1
205,85,490,2,6032.83,24.3
206,85,438,5,4743.84,43.5
207,85,210,5,21641.81,32.4
208,85,344,2,27357.28,4.2
209,86,156,-1,28174.9,12.2
210,86,320,2,17136.95,26.9
211,86,198,2,26223.67,35.2
212,87,213,4,10402.93,32.9
213,88,390,5,21436.81,5.2
214,88,214,2,24063.28,24.8
215,88,130,1,26483.3,17.0
216,88,491,5,4269.89,4.7
217,89,32,4,11848.29,9.2
218,89,398,2,26157.99,18.4
219,89,362,4,5574.05,14.0
220,90,226,3,20211.97,15.7
221,90,255,5,14130.92,20.5
222,90,501,5,8875.8,21.3
223,91,286,1,748.24,20.3
224,91,295,1,28761.36,28.9
225,92,335,2,24570.86,2.7
226,92,393,2,22545.75,43.8
227,92,547,2,17958.58,11.6
228,92,342,1,18455.28,29.2
229,93,264,1,4016.61,5.5
230,93,276,3,27040.93,9.3
231,94,300,1,8677.55,17.2
232,94,506,5,13962.87,43.9
233,95,120,1,13822.77,10.2
234,95,533,5,4105.24,14.6
235,95,299,2,23247.72,9.7
236,96,58,4,14698.31,38.3
237,96,277,4,5994.2,31.5
238,97,533,1,2114.17,6.9
239,97,437,2,909.29,47.5
240,98,531,3,3882.36,40.9
241,99,210,4,20303.28,19.1
242,99,218,5,5074.93,48.9
243,100,511,-2,19239.44,12.7
244,100,88,4,26313.57,30.0
245,100,212,-2,27525.08,14.0
246,100,391,1,3500.37,9.4
247,101,379,1,2415.61,44.9
248,101,96,1,14308.28,39.4
249,101,221,1,16272.71,2.4
250,102,293,1,1931.41,3.1
251,103,66,5,10263.92,34.4
252,103,357,2,15720.98,32.7
253,104,528,3,10632.68,2.5
