row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
1,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-BO-10001798,261.96,2,0.00,41.91
2,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-CH-10000454,731.94,3,0.00,219.58
4,US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,FUR-TA-10000577,957.58,5,0.45,-383.03
8,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,TEC-PH-10002275,907.15,6,0.20,90.72
11,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,FUR-TA-10001539,1706.18,9,0.20,85.31
12,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,TEC-PH-10002033,911.42,4,0.20,68.36
14,CA-2016-161389,12/5/2016,12/10/2016,"Standard Class",IM-15070,OFF-BI-10003656,407.98,3,0.20,132.59
17,CA-2014-105893,11/11/2014,11/18/2014,"Standard Class",PK-19075,OFF-ST-10004186,665.88,6,0.00,13.32
25,CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,FUR-TA-10000577,1044.63,3,0.00,240.26
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,FUR-BO-10004834,3083.43,7,0.50,-1665.05
36,CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,TEC-PH-10004977,1097.54,7,0.20,123.47
39,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,FUR-BO-10002545,532.40,3,0.32,-46.98
41,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,TEC-PH-10000486,371.17,4,0.20,41.76
55,CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,TEC-PH-10002447,1029.95,5,0.00,298.69
58,CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,FUR-CH-10003968,319.41,5,0.10,7.10
68,CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,OFF-AR-10002671,1113.02,8,0.20,111.30
73,US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,FUR-CH-10000513,831.94,8,0.20,-114.39
85,US-2017-119662,11/13/2017,11/16/2017,"First Class",CS-12400,OFF-ST-10003656,230.38,3,0.20,-48.95
86,CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,FUR-CH-10000863,301.96,2,0.00,33.22
104,US-2015-156867,11/13/2015,11/17/2015,"Standard Class",LC-16870,TEC-AC-10001552,238.90,6,0.20,-26.88
110,CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,TEC-AC-10000844,339.96,5,0.20,67.99
118,CA-2015-110457,3/2/2015,3/6/2015,"Standard Class",DK-13090,FUR-TA-10001768,787.53,3,0.00,165.38
125,US-2014-152030,12/26/2014,12/28/2014,"Second Class",AD-10180,FUR-CH-10004063,600.56,3,0.30,-8.58
126,US-2014-134614,9/20/2014,9/25/2014,"Standard Class",PF-19165,FUR-TA-10004534,617.70,6,0.50,-407.68
128,US-2017-107272,11/5/2017,11/12/2017,"Standard Class",TS-21610,OFF-ST-10002974,243.99,7,0.20,30.50
130,US-2016-125969,11/6/2016,11/10/2016,"Second Class",LS-16975,FUR-FU-10003773,238.56,3,0.00,26.24
145,CA-2017-155376,12/22/2017,12/27/2017,"Standard Class",SG-20080,OFF-AP-10001058,839.43,3,0.00,218.25
146,CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,OFF-ST-10003656,671.93,7,0.00,20.16
148,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,TEC-PH-10000215,384.45,11,0.00,103.80
150,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,FUR-CH-10000454,1951.84,8,0.00,585.55
158,CA-2014-104269,3/1/2014,3/6/2014,"Second Class",DB-13060,FUR-CH-10004063,457.57,2,0.20,51.48
160,CA-2016-114104,11/20/2016,11/24/2016,"Standard Class",NP-18670,TEC-PH-10004536,944.93,7,0.00,236.23
166,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,TEC-MA-10000822,8159.95,8,0.40,-1359.99
167,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,OFF-ST-10000991,275.93,3,0.20,-58.63
168,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,FUR-CH-10004287,1740.06,9,0.30,-24.86
174,CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,FUR-CH-10003817,340.14,7,0.20,21.26
178,US-2015-101511,11/21/2015,11/23/2015,"Second Class",JE-15745,FUR-CH-10004698,396.80,7,0.30,-11.34
182,CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,TEC-AC-10004659,408.74,7,0.20,76.64
183,CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,TEC-PH-10003273,503.96,4,0.00,131.03
190,CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002613,899.14,4,0.20,112.39
193,CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002545,626.35,3,0.20,46.98
206,CA-2017-108329,12/9/2017,12/14/2017,"Standard Class",LE-16810,TEC-PH-10001918,444.77,4,0.20,44.48
214,CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,FUR-BO-10004695,452.45,5,0.50,-244.32
216,CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,TEC-MA-10000864,1188.00,9,0.70,-950.40
219,CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,TEC-PH-10002563,302.38,3,0.20,22.68
224,CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,TEC-MA-10001148,479.99,4,0.70,-383.99
227,CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,FUR-TA-10003748,622.45,5,0.00,136.94
230,US-2015-145436,2/28/2015,3/4/2015,"Standard Class",VD-21670,FUR-CH-10004477,389.70,8,0.20,43.84
232,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,FUR-TA-10001705,233.86,2,0.45,-102.05
233,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,FUR-TA-10003473,620.61,3,0.45,-248.25
235,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,FUR-FU-10004017,258.07,3,0.20,0.00
236,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,TEC-AC-10003832,617.98,3,0.20,-7.72
239,CA-2016-157749,6/4/2016,6/9/2016,"Second Class",KL-16645,FUR-FU-10000576,419.68,5,0.60,-356.73
245,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,FUR-CH-10004063,2001.86,7,0.00,580.54
248,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,OFF-AP-10002945,1503.25,5,0.00,496.07
250,CA-2016-154739,12/10/2016,12/15/2016,"Second Class",LH-17155,FUR-CH-10002965,321.57,2,0.20,28.14
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,TEC-AC-10003832,3347.37,13,0.00,636.00
254,CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,OFF-EN-10003296,361.92,4,0.00,162.86
258,US-2015-159982,11/28/2015,12/4/2015,"Standard Class",DR-12880,TEC-PH-10001580,647.90,6,0.20,56.69
263,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10000822,3059.98,3,0.40,-510.00
264,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10003353,2519.96,7,0.40,-252.00
265,CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,TEC-PH-10001433,328.22,4,0.20,28.72
271,CA-2017-163979,12/28/2017,1/2/2018,"Second Class",KH-16690,OFF-ST-10003208,725.84,4,0.00,210.49
282,US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,TEC-PH-10001760,1114.40,7,0.20,376.11
283,CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,FUR-TA-10002903,1038.84,5,0.20,51.94
285,CA-2015-130883,9/26/2015,10/2/2015,"Standard Class",TB-21520,TEC-AC-10001956,239.80,5,0.20,47.96
287,CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-BI-10000778,254.06,7,0.70,-169.37
289,CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-SU-10000646,961.48,5,0.20,-204.31
292,CA-2016-110772,11/20/2016,11/24/2016,"Second Class",NZ-18565,TEC-AC-10002001,255.98,2,0.20,54.40
294,CA-2014-111451,12/26/2014,12/28/2014,"First Class",KL-16555,FUR-FU-10004091,300.42,8,0.20,78.86
295,CA-2014-111451,12/26/2014,12/28/2014,"First Class",KL-16555,FUR-CH-10001891,230.35,3,0.20,20.16
300,CA-2016-142545,10/28/2016,11/3/2016,"Standard Class",JD-15895,OFF-ST-10002756,1082.48,8,0.00,10.82
308,CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",CR-12625,OFF-AR-10002135,289.20,6,0.00,83.87
311,CA-2016-142902,9/12/2016,9/14/2016,"Second Class",BP-11185,FUR-CH-10004086,466.77,2,0.20,52.51
319,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,TEC-MA-10002927,3991.98,2,0.00,1995.99
320,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,TEC-PH-10004093,275.94,6,0.00,80.02
321,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,TEC-AC-10000892,360.00,4,0.00,129.60
324,CA-2016-162138,4/23/2016,4/27/2016,"Standard Class",GK-14620,OFF-BI-10004593,251.52,6,0.20,81.74
327,US-2016-141544,8/30/2016,9/1/2016,"First Class",PO-18850,TEC-PH-10003645,290.90,3,0.40,-67.88
329,US-2016-141544,8/30/2016,9/1/2016,"First Class",PO-18850,FUR-CH-10003312,786.74,4,0.30,-258.50
336,CA-2015-137946,9/1/2015,9/4/2015,"Second Class",DB-13615,TEC-CO-10001449,959.98,2,0.20,335.99
