customer_id,total_sales
BH-11710,6255.34
IM-15070,4930.49
PK-19075,8646.93
TB-21520,4737.48
MA-17560,4299.16
SN-20710,3127.97
LC-16930,4492.94
RA-19885,3832.32
ES-14080,4657.93
KM-16720,4909.47
KD-16270,8282.36
JE-15745,6760.81
SC-20770,4492.68
CS-12400,3651.86
GM-14455,3078.63
RB-19465,4715.47
GZ-14470,4355.15
JM-15250,3159.11
CL-12565,10880.56
SC-20725,5226.20
AD-10180,6106.88
LS-16975,2988.65
LC-16885,7663.13
JD-15895,7610.87
SH-19975,3406.86
SG-20080,3406.58
TW-21025,5278.82
DB-13060,4531.65
NP-18670,3908.40
TT-21070,4915.59
RD-19900,3133.92
MJ-17740,6320.75
BM-11140,11789.64
JK-15640,4760.44
RM-19675,5979.09
FM-14290,3736.20
MP-17470,3206.12
CB-12025,6076.15
FH-14365,6987.20
HK-14890,4877.80
JH-15985,7954.99
VW-21775,6134.04
VD-21670,6442.26
DB-13120,2973.09
KL-16645,14175.23
DW-13480,5271.63
KC-16540,3908.27
DR-12880,6528.03
SB-20290,8057.89
AH-10210,4805.35
CB-12535,4246.46
KH-16690,5990.79
KL-16555,5016.47
AS-10225,4260.78
BP-11185,3675.86
TS-21205,5371.11
SP-20860,4282.92
NM-18445,6459.34
FA-14230,2984.05
GK-14620,6497.28
PO-18850,7473.84
AB-10060,7755.63
JL-15505,3173.87
KW-16435,4416.52
AG-10900,4510.79
RA-19915,4793.53
AS-10285,3214.24
LA-16780,8673.23
DK-13225,4802.39
AG-10675,3489.06
LF-17185,3930.52
KH-16510,5952.86
CJ-12010,11164.97
MP-17965,3983.65
NF-18385,8322.82
SD-20485,6121.10
KH-16630,3918.96
RB-19795,5633.31
PO-19180,4893.05
BB-11545,6765.73
RB-19360,15117.35
EB-13705,3644.97
SC-20095,14142.34
TN-21040,3130.23
JP-15520,3635.59
SA-20830,4767.34
RO-19780,3815.47
MD-17350,3766.40
CM-12385,8954.01
BD-11605,3288.48
MG-18145,3061.54
KB-16240,3152.61
RL-19615,6234.91
EP-13915,5478.06
BD-11500,4411.25
BD-11320,5718.53
GT-14710,11820.12
OT-18730,3818.62
CA-12775,3041.58
FP-14320,4046.75
EB-13840,4358.13
SF-20200,3422.78
CS-11950,3036.53
DV-13465,3341.58
ZC-21910,8025.70
LR-16915,5142.89
TP-21130,4454.06
CK-12205,3154.83
SF-20965,3336.53
AT-10735,3831.87
JD-16150,8828.04
JL-15835,9799.94
SC-20305,3979.06
AR-10825,4523.33
SR-20740,4345.88
EH-14125,3082.64
RP-19390,5153.06
DJ-13630,3356.40
GT-14635,9351.20
MC-17845,3805.71
NP-18325,5529.62
TH-21550,4234.10
AP-10915,3323.55
RS-19765,4159.77
SV-20365,11470.94
CK-12325,2945.32
YC-21895,5454.35
CP-12340,5888.30
AJ-10795,4501.39
LT-17110,2936.26
JK-15730,4867.21
ES-14020,3510.46
RH-19495,3621.38
HW-14935,9300.25
GM-14440,3582.82
BW-11110,4750.36
PG-18820,3086.90
BM-11650,7294.18
SJ-20125,3949.65
AJ-10780,4867.34
PM-19135,4115.66
HL-15040,12873.30
MS-17365,7443.68
BE-11335,4204.68
SC-20050,4624.57
RW-19630,3279.75
SE-20110,12209.44
AH-10075,3250.35
KH-16360,3100.60
JA-15970,6491.03
DL-12925,3272.20
LW-16990,3230.30
RW-19690,3495.64
SL-20155,3053.01
MW-18235,5253.88
RD-19585,2912.90
JS-15880,3868.01
NS-18640,2964.82
DG-13300,3195.82
MG-17650,3785.28
CY-12745,2900.02
PS-19045,6843.63
DL-13495,3539.32
CS-12355,3202.16
FH-14275,4256.28
AA-10315,5563.56
HR-14830,5248.80
SP-20620,5440.32
BF-11170,5907.97
KT-16480,4642.10
GM-14680,3163.63
NP-18700,7903.18
MH-18115,5503.09
SM-20950,5563.40
CC-12220,3913.43
DC-12850,3336.17
QJ-19255,6108.34
HG-14965,3247.65
LP-17095,3653.40
CP-12085,5402.25
AS-10045,3050.69
ND-18370,4326.14
KT-16465,3057.10
HM-14860,8236.76
SZ-20035,3625.34
JK-16120,2932.49
PP-18955,7252.61
YS-21880,6720.44
KM-16375,5620.18
AB-10105,14473.57
RW-19540,7397.40
DK-12835,3256.48
MM-17920,3794.07
PW-19030,3454.91
MC-17425,4432.14
ME-17320,10663.73
KD-16495,8181.24
CS-12505,5690.07
MS-17770,3144.67
CM-12655,6339.56
TS-21370,11891.75
JW-15220,7721.71
AR-10540,6608.45
AI-10855,4375.79
TB-21400,9133.99
GH-14425,4172.84
MP-18175,5087.93
DB-13270,4655.90
EB-13750,3236.32
TT-21460,5364.80
MY-18295,4152.70
RD-19480,4272.94
DP-13390,5480.73
JG-15160,6366.40
NW-18400,7234.02
BS-11380,3887.82
SW-20455,2921.54
JK-15205,4427.14
ED-13885,3484.91
JE-15610,7754.97
TB-21175,3589.29
JF-15565,4198.32
BT-11680,3196.75
KH-16330,3312.87
AS-10090,3255.30
AC-10450,5527.85
EH-13765,10310.87
SC-20230,4371.96
JE-15715,8697.86
LW-17215,5420.52
AM-10705,5664.02
RH-19510,6979.18
CT-11995,3241.90
TC-20980,19052.22
BS-11665,3288.12
RF-19345,3309.14
WB-21850,6160.10
KF-16285,10604.26
IL-15100,5040.74
ML-17410,2921.51
DB-13555,3908.80
DK-13375,3318.49
TG-21310,3058.38
MW-18220,5341.90
SM-20320,25043.07
TP-21415,5328.98
JK-15625,3760.03
RS-19420,3221.29
BC-11125,2933.67
SC-20260,3729.80
SG-20605,3124.84
TM-21010,2955.23
PW-19240,3922.41
SC-20380,5992.53
GM-14695,6049.96
JM-15865,7625.07
TA-21385,14595.62
HG-15025,3690.28
RR-19525,3302.26
TC-21295,4266.81
SV-20785,4105.32
GA-14515,3919.77
Dp-13240,7198.77
MH-18025,2984.95
DR-12940,8350.87
DM-13015,6345.09
CA-11965,3789.72
DM-13345,4074.47
CC-12370,12129.08
EM-14140,4588.44
GB-14575,4716.30
SR-20425,3233.48
EB-14110,3071.14
LB-16795,4985.68
DH-13075,4932.87
JO-15145,3254.95
AH-10690,7888.30
SC-20020,3362.96
FC-14335,3889.36
NC-18535,8241.74
PF-19120,9062.86
SP-20920,3990.67
DK-12895,4282.16
AA-10645,5086.94
BS-11365,10501.65
SS-20410,3056.81
FC-14245,3418.74
TH-21115,2942.78
JK-16090,3747.66
SB-20185,6411.00
TS-21655,3368.08
VP-21760,3360.54
CM-12715,3984.45
LC-16960,3246.63
